UserID,Age,Gender,Height (cm),Weight (kg),BMI,Chest (cm),Waist (cm),Hip (cm),Body Type,Base Size,Previous Purchase,Brand,Item Purchased,Size Purchased,Fit Feedback,Return/Exchange Status,Reason for Return/Exchange,Season,Purchase Location,Loyalty Status,Promotion Influence,Region,Timestamp
User002,20,Non-Binary,156,105,43.15,98,102,116,Athletic,L,False,Uniqlo,Dress,XL,Fit Well,Returned,Changed Mind,Winter,In-Store,Frequent Buyer,Yes,Africa,2022-08-12 11:09
User002,20,Non-Binary,156,105,43.15,98,102,116,Athletic,L,False,Levi's,Skirt,L,Fit Well,Kept,,Winter,In-Store,Frequent Buyer,Yes,Africa,2022-07-02 23:17
User002,20,Non-Binary,156,105,43.15,98,102,116,Athletic,L,False,Zara,T-shirt,M,Fit Well,Exchanged,Other,Winter,In-Store,Frequent Buyer,Yes,Africa,2022-03-25 01:07
User002,20,Non-Binary,156,105,43.15,98,102,116,Athletic,L,False,Zara,Jeans,M,Too Small,Kept,,Winter,In-Store,Frequent Buyer,Yes,Africa,2022-06-23 22:12
User003,41,Female,157,85,34.48,135,71,87,Curvy,XXL,False,Zara,T-shirt,L,Too Large,Returned,Changed Mind,Spring,Online,Frequent Buyer,Yes,North America,2023-09-09 16:11
User003,41,Female,157,85,34.48,135,71,87,Curvy,XXL,False,Levi's,Shorts,XXL,Fit Well,Exchanged,Changed Mind,Spring,Online,Frequent Buyer,Yes,North America,2022-07-10 18:23
User003,41,Female,157,85,34.48,135,71,87,Curvy,XXL,False,Nike,Jeans,XXL,Too Small,Exchanged,Quality Issue,Spring,Online,Frequent Buyer,Yes,North America,2023-12-20 08:37
User003,41,Female,157,85,34.48,135,71,87,Curvy,XXL,False,Nike,Jeans,XXL,Fit Well,Kept,,Spring,Online,Frequent Buyer,Yes,North America,2023-01-03 14:06
User003,41,Female,157,85,34.48,135,71,87,Curvy,XXL,False,Uniqlo,Sweater,XXL,Too Small,Kept,,Spring,Online,Frequent Buyer,Yes,North America,2023-12-29 10:01
User003,41,Female,157,85,34.48,135,71,87,Curvy,XXL,False,H&M,Sweater,XXL,Too Small,Returned,Changed Mind,Spring,Online,Frequent Buyer,Yes,North America,2023-05-31 21:00
User003,41,Female,157,85,34.48,135,71,87,Curvy,XXL,False,Levi's,Jeans,XXL,Fit Well,Returned,Changed Mind,Spring,Online,Frequent Buyer,Yes,North America,2022-02-24 00:40
User003,41,Female,157,85,34.48,135,71,87,Curvy,XXL,False,Levi's,T-shirt,XL,Too Small,Exchanged,Quality Issue,Spring,Online,Frequent Buyer,Yes,North America,2023-02-07 03:19
User003,41,Female,157,85,34.48,135,71,87,Curvy,XXL,False,Zara,Jacket,L,Too Small,Kept,,Spring,Online,Frequent Buyer,Yes,North America,2023-06-02 21:20
User003,41,Female,157,85,34.48,135,71,87,Curvy,XXL,False,Uniqlo,Sweater,XXL,Too Large,Returned,Fit Issue,Spring,Online,Frequent Buyer,Yes,North America,2023-02-06 02:15
User003,41,Female,157,85,34.48,135,71,87,Curvy,XXL,False,Nike,T-shirt,L,Fit Well,Returned,Other,Spring,Online,Frequent Buyer,Yes,North America,2023-11-23 02:14
User003,41,Female,157,85,34.48,135,71,87,Curvy,XXL,False,Levi's,Sweater,XL,Too Large,Returned,Other,Spring,Online,Frequent Buyer,Yes,North America,2022-08-21 03:41
User003,41,Female,157,85,34.48,135,71,87,Curvy,XXL,False,Nike,Shorts,XXL,Too Small,Exchanged,Changed Mind,Spring,Online,Frequent Buyer,Yes,North America,2023-11-16 05:45
User004,52,Male,168,95,33.66,123,90,113,Petite,XXL,False,Zara,Jacket,XXL,Too Large,Exchanged,Fit Issue,Autumn,In-Store,New Buyer,Yes,South America,2022-05-06 06:30
User004,52,Male,168,95,33.66,123,90,113,Petite,XXL,False,Nike,Shorts,XXL,Too Small,Kept,,Autumn,In-Store,New Buyer,Yes,South America,2023-06-14 13:28
User004,52,Male,168,95,33.66,123,90,113,Petite,XXL,False,Uniqlo,Dress,XXL,Fit Well,Exchanged,Fit Issue,Autumn,In-Store,New Buyer,Yes,South America,2022-07-18 01:00
User004,52,Male,168,95,33.66,123,90,113,Petite,XXL,False,Nike,Jacket,XXL,Fit Well,Kept,,Autumn,In-Store,New Buyer,Yes,South America,2023-08-19 16:09
User004,52,Male,168,95,33.66,123,90,113,Petite,XXL,False,Zara,Shorts,XXL,Fit Well,Kept,,Autumn,In-Store,New Buyer,Yes,South America,2023-04-28 11:08
User004,52,Male,168,95,33.66,123,90,113,Petite,XXL,False,Nike,Sweater,XXL,Too Large,Kept,,Autumn,In-Store,New Buyer,Yes,South America,2022-10-08 00:59
User004,52,Male,168,95,33.66,123,90,113,Petite,XXL,False,Levi's,Sweater,XXL,Too Small,Kept,,Autumn,In-Store,New Buyer,Yes,South America,2023-05-23 18:47
User004,52,Male,168,95,33.66,123,90,113,Petite,XXL,False,Levi's,Jeans,XXL,Too Small,Exchanged,Changed Mind,Autumn,In-Store,New Buyer,Yes,South America,2022-04-17 02:12
User004,52,Male,168,95,33.66,123,90,113,Petite,XXL,False,Zara,Jeans,XXL,Too Small,Returned,Changed Mind,Autumn,In-Store,New Buyer,Yes,South America,2022-11-03 07:45
User004,52,Male,168,95,33.66,123,90,113,Petite,XXL,False,Nike,Sweater,XXL,Fit Well,Exchanged,Changed Mind,Autumn,In-Store,New Buyer,Yes,South America,2022-02-09 10:29
User004,52,Male,168,95,33.66,123,90,113,Petite,XXL,False,Uniqlo,Skirt,XXL,Too Large,Kept,,Autumn,In-Store,New Buyer,Yes,South America,2022-05-04 00:16
User004,52,Male,168,95,33.66,123,90,113,Petite,XXL,False,Nike,Jeans,XXL,Fit Well,Kept,,Autumn,In-Store,New Buyer,Yes,South America,2022-02-27 22:34
User005,20,Female,156,73,30.0,122,63,112,Curvy,XL,False,Zara,T-shirt,M,Too Large,Kept,,Autumn,Online,Occasional Buyer,No,South America,2023-10-27 20:54
User005,20,Female,156,73,30.0,122,63,112,Curvy,XL,False,H&M,Dress,XL,Too Large,Kept,,Autumn,Online,Occasional Buyer,No,South America,2022-07-13 09:27
User005,20,Female,156,73,30.0,122,63,112,Curvy,XL,False,H&M,Dress,XL,Too Large,Returned,Fit Issue,Autumn,Online,Occasional Buyer,No,South America,2022-04-02 06:32
User005,20,Female,156,73,30.0,122,63,112,Curvy,XL,False,Zara,Sweater,M,Fit Well,Kept,,Autumn,Online,Occasional Buyer,No,South America,2022-10-21 21:09
User005,20,Female,156,73,30.0,122,63,112,Curvy,XL,False,Uniqlo,T-shirt,XL,Too Large,Exchanged,Quality Issue,Autumn,Online,Occasional Buyer,No,South America,2022-05-30 23:12
User005,20,Female,156,73,30.0,122,63,112,Curvy,XL,False,Uniqlo,Jacket,XL,Too Small,Returned,Changed Mind,Autumn,Online,Occasional Buyer,No,South America,2023-08-17 00:53
User005,20,Female,156,73,30.0,122,63,112,Curvy,XL,False,Uniqlo,Dress,XL,Fit Well,Returned,Quality Issue,Autumn,Online,Occasional Buyer,No,South America,2022-07-23 01:55
User005,20,Female,156,73,30.0,122,63,112,Curvy,XL,False,H&M,Jacket,XL,Too Small,Exchanged,Quality Issue,Autumn,Online,Occasional Buyer,No,South America,2023-03-19 20:50
User005,20,Female,156,73,30.0,122,63,112,Curvy,XL,False,Uniqlo,Dress,XL,Fit Well,Kept,,Autumn,Online,Occasional Buyer,No,South America,2023-04-09 11:30
User005,20,Female,156,73,30.0,122,63,112,Curvy,XL,False,Zara,Jacket,M,Too Small,Returned,Quality Issue,Autumn,Online,Occasional Buyer,No,South America,2022-12-30 16:37
User005,20,Female,156,73,30.0,122,63,112,Curvy,XL,False,H&M,Skirt,XXL,Fit Well,Kept,,Autumn,Online,Occasional Buyer,No,South America,2022-12-17 19:15
User005,20,Female,156,73,30.0,122,63,112,Curvy,XL,False,Nike,Skirt,L,Fit Well,Kept,,Autumn,Online,Occasional Buyer,No,South America,2023-08-05 13:08
User005,20,Female,156,73,30.0,122,63,112,Curvy,XL,False,H&M,Skirt,XXL,Too Large,Kept,,Autumn,Online,Occasional Buyer,No,South America,2022-07-08 20:12
User005,20,Female,156,73,30.0,122,63,112,Curvy,XL,False,Nike,Jeans,L,Too Small,Exchanged,Other,Autumn,Online,Occasional Buyer,No,South America,2022-01-19 23:03
User005,20,Female,156,73,30.0,122,63,112,Curvy,XL,False,H&M,Sweater,XL,Too Small,Exchanged,Quality Issue,Autumn,Online,Occasional Buyer,No,South America,2022-08-26 16:29
User006,22,Non-Binary,188,91,25.75,95,78,102,Curvy,M,True,Uniqlo,Jacket,L,Too Large,Exchanged,Changed Mind,Autumn,Online,Frequent Buyer,Yes,South America,2023-07-16 16:25
User006,22,Non-Binary,188,91,25.75,95,78,102,Curvy,M,True,Levi's,Dress,M,Too Small,Kept,,Autumn,Online,Frequent Buyer,Yes,South America,2022-09-17 18:34
User006,22,Non-Binary,188,91,25.75,95,78,102,Curvy,M,True,Nike,Jeans,S,Fit Well,Returned,Other,Autumn,Online,Frequent Buyer,Yes,South America,2023-01-18 19:58
User006,22,Non-Binary,188,91,25.75,95,78,102,Curvy,M,True,Zara,Skirt,S,Fit Well,Returned,Quality Issue,Autumn,Online,Frequent Buyer,Yes,South America,2022-04-21 20:02
User006,22,Non-Binary,188,91,25.75,95,78,102,Curvy,M,True,Levi's,Jacket,M,Too Small,Returned,Changed Mind,Autumn,Online,Frequent Buyer,Yes,South America,2023-03-26 18:06
User006,22,Non-Binary,188,91,25.75,95,78,102,Curvy,M,True,Uniqlo,Dress,L,Too Large,Kept,,Autumn,Online,Frequent Buyer,Yes,South America,2023-01-16 14:36
User006,22,Non-Binary,188,91,25.75,95,78,102,Curvy,M,True,Nike,Jacket,S,Too Small,Kept,,Autumn,Online,Frequent Buyer,Yes,South America,2022-08-21 12:38
User006,22,Non-Binary,188,91,25.75,95,78,102,Curvy,M,True,H&M,T-shirt,L,Fit Well,Kept,,Autumn,Online,Frequent Buyer,Yes,South America,2023-02-26 23:30
User006,22,Non-Binary,188,91,25.75,95,78,102,Curvy,M,True,H&M,T-shirt,L,Too Small,Exchanged,Quality Issue,Autumn,Online,Frequent Buyer,Yes,South America,2022-04-13 00:15
User006,22,Non-Binary,188,91,25.75,95,78,102,Curvy,M,True,Nike,Jacket,S,Fit Well,Kept,,Autumn,Online,Frequent Buyer,Yes,South America,2023-08-02 06:16
User006,22,Non-Binary,188,91,25.75,95,78,102,Curvy,M,True,Zara,Shorts,S,Fit Well,Kept,,Autumn,Online,Frequent Buyer,Yes,South America,2023-06-18 13:59
User006,22,Non-Binary,188,91,25.75,95,78,102,Curvy,M,True,H&M,Sweater,L,Too Large,Kept,,Autumn,Online,Frequent Buyer,Yes,South America,2023-01-28 07:18
User007,31,Female,153,75,32.04,109,83,121,Petite,L,False,Uniqlo,Shorts,XL,Fit Well,Returned,Changed Mind,Summer,Online,Occasional Buyer,Yes,Australia,2022-09-17 09:35
User007,31,Female,153,75,32.04,109,83,121,Petite,L,False,H&M,Skirt,XL,Fit Well,Exchanged,Quality Issue,Summer,Online,Occasional Buyer,Yes,Australia,2023-12-25 22:27
User007,31,Female,153,75,32.04,109,83,121,Petite,L,False,H&M,Shorts,XL,Fit Well,Exchanged,Quality Issue,Summer,Online,Occasional Buyer,Yes,Australia,2022-04-17 22:59
User007,31,Female,153,75,32.04,109,83,121,Petite,L,False,Levi's,Sweater,M,Too Small,Kept,,Summer,Online,Occasional Buyer,Yes,Australia,2023-08-15 08:10
User007,31,Female,153,75,32.04,109,83,121,Petite,L,False,Zara,Jeans,M,Too Large,Returned,Other,Summer,Online,Occasional Buyer,Yes,Australia,2022-05-22 17:53
User007,31,Female,153,75,32.04,109,83,121,Petite,L,False,Levi's,Dress,M,Too Large,Exchanged,Other,Summer,Online,Occasional Buyer,Yes,Australia,2022-10-08 21:50
User007,31,Female,153,75,32.04,109,83,121,Petite,L,False,Levi's,Skirt,L,Too Large,Kept,,Summer,Online,Occasional Buyer,Yes,Australia,2023-04-01 06:53
User007,31,Female,153,75,32.04,109,83,121,Petite,L,False,H&M,Dress,L,Too Large,Exchanged,Changed Mind,Summer,Online,Occasional Buyer,Yes,Australia,2022-09-30 08:31
User007,31,Female,153,75,32.04,109,83,121,Petite,L,False,Uniqlo,Jacket,L,Too Large,Returned,Other,Summer,Online,Occasional Buyer,Yes,Australia,2022-01-08 06:58
User007,31,Female,153,75,32.04,109,83,121,Petite,L,False,H&M,Dress,L,Fit Well,Kept,,Summer,Online,Occasional Buyer,Yes,Australia,2022-11-01 16:58
User007,31,Female,153,75,32.04,109,83,121,Petite,L,False,Levi's,Sweater,M,Fit Well,Returned,Fit Issue,Summer,Online,Occasional Buyer,Yes,Australia,2022-02-11 05:24
User007,31,Female,153,75,32.04,109,83,121,Petite,L,False,Levi's,Jeans,L,Fit Well,Returned,Changed Mind,Summer,Online,Occasional Buyer,Yes,Australia,2023-09-23 05:42
User007,31,Female,153,75,32.04,109,83,121,Petite,L,False,Uniqlo,Sweater,L,Fit Well,Exchanged,Other,Summer,Online,Occasional Buyer,Yes,Australia,2023-07-31 16:28
User008,64,Non-Binary,158,65,26.04,103,84,112,Petite,M,False,Uniqlo,Dress,L,Fit Well,Kept,,Winter,In-Store,Frequent Buyer,No,Africa,2022-03-02 22:36
User008,64,Non-Binary,158,65,26.04,103,84,112,Petite,M,False,Levi's,T-shirt,L,Too Large,Returned,Other,Winter,In-Store,Frequent Buyer,No,Africa,2023-01-06 13:11
User008,64,Non-Binary,158,65,26.04,103,84,112,Petite,M,False,Levi's,Shorts,L,Fit Well,Returned,Fit Issue,Winter,In-Store,Frequent Buyer,No,Africa,2023-10-24 09:28
User008,64,Non-Binary,158,65,26.04,103,84,112,Petite,M,False,Nike,Jeans,L,Too Small,Kept,,Winter,In-Store,Frequent Buyer,No,Africa,2023-06-19 08:52
User008,64,Non-Binary,158,65,26.04,103,84,112,Petite,M,False,Uniqlo,Sweater,L,Too Large,Kept,,Winter,In-Store,Frequent Buyer,No,Africa,2022-07-04 23:10
User008,64,Non-Binary,158,65,26.04,103,84,112,Petite,M,False,Uniqlo,Sweater,L,Too Large,Exchanged,Quality Issue,Winter,In-Store,Frequent Buyer,No,Africa,2023-07-16 03:48
User008,64,Non-Binary,158,65,26.04,103,84,112,Petite,M,False,H&M,Skirt,L,Too Large,Exchanged,Changed Mind,Winter,In-Store,Frequent Buyer,No,Africa,2023-04-12 01:18
User008,64,Non-Binary,158,65,26.04,103,84,112,Petite,M,False,Levi's,Jeans,L,Too Small,Returned,Fit Issue,Winter,In-Store,Frequent Buyer,No,Africa,2023-03-10 00:14
User008,64,Non-Binary,158,65,26.04,103,84,112,Petite,M,False,Nike,Dress,L,Too Small,Returned,Fit Issue,Winter,In-Store,Frequent Buyer,No,Africa,2023-11-07 03:32
User008,64,Non-Binary,158,65,26.04,103,84,112,Petite,M,False,H&M,T-shirt,L,Too Large,Exchanged,Quality Issue,Winter,In-Store,Frequent Buyer,No,Africa,2023-01-10 15:30
User008,64,Non-Binary,158,65,26.04,103,84,112,Petite,M,False,Zara,Sweater,L,Fit Well,Exchanged,Quality Issue,Winter,In-Store,Frequent Buyer,No,Africa,2023-12-10 01:39
User008,64,Non-Binary,158,65,26.04,103,84,112,Petite,M,False,Levi's,Sweater,L,Fit Well,Returned,Other,Winter,In-Store,Frequent Buyer,No,Africa,2022-06-06 14:20
User008,64,Non-Binary,158,65,26.04,103,84,112,Petite,M,False,Uniqlo,Dress,L,Fit Well,Returned,Quality Issue,Winter,In-Store,Frequent Buyer,No,Africa,2023-02-02 07:35
User008,64,Non-Binary,158,65,26.04,103,84,112,Petite,M,False,Levi's,Dress,L,Too Large,Returned,Quality Issue,Winter,In-Store,Frequent Buyer,No,Africa,2022-03-01 00:51
User009,60,Female,200,100,25.0,130,99,118,Petite,XXL,True,Nike,T-shirt,XXL,Too Large,Kept,,Summer,In-Store,New Buyer,Yes,Africa,2022-04-23 19:10
User009,60,Female,200,100,25.0,130,99,118,Petite,XXL,True,Uniqlo,Shorts,XXL,Too Large,Returned,Other,Summer,In-Store,New Buyer,Yes,Africa,2022-04-24 14:05
User009,60,Female,200,100,25.0,130,99,118,Petite,XXL,True,Levi's,Shorts,XXL,Fit Well,Returned,Fit Issue,Summer,In-Store,New Buyer,Yes,Africa,2023-09-15 02:20
User009,60,Female,200,100,25.0,130,99,118,Petite,XXL,True,Zara,Jeans,XXL,Too Small,Exchanged,Other,Summer,In-Store,New Buyer,Yes,Africa,2022-04-15 00:45
User009,60,Female,200,100,25.0,130,99,118,Petite,XXL,True,Nike,Shorts,XXL,Fit Well,Exchanged,Other,Summer,In-Store,New Buyer,Yes,Africa,2023-01-24 03:22
User009,60,Female,200,100,25.0,130,99,118,Petite,XXL,True,Uniqlo,Shorts,XXL,Too Large,Kept,,Summer,In-Store,New Buyer,Yes,Africa,2023-07-05 12:27
User009,60,Female,200,100,25.0,130,99,118,Petite,XXL,True,H&M,Jacket,XXL,Too Large,Kept,,Summer,In-Store,New Buyer,Yes,Africa,2023-11-09 16:02
User009,60,Female,200,100,25.0,130,99,118,Petite,XXL,True,H&M,Skirt,XXL,Fit Well,Kept,,Summer,In-Store,New Buyer,Yes,Africa,2023-03-17 02:22
User009,60,Female,200,100,25.0,130,99,118,Petite,XXL,True,Uniqlo,Sweater,XXL,Fit Well,Kept,,Summer,In-Store,New Buyer,Yes,Africa,2022-12-22 18:11
User009,60,Female,200,100,25.0,130,99,118,Petite,XXL,True,Levi's,Sweater,XXL,Too Small,Kept,,Summer,In-Store,New Buyer,Yes,Africa,2022-11-10 00:13
User009,60,Female,200,100,25.0,130,99,118,Petite,XXL,True,Levi's,Shorts,XXL,Too Large,Kept,,Summer,In-Store,New Buyer,Yes,Africa,2023-04-26 07:10
User009,60,Female,200,100,25.0,130,99,118,Petite,XXL,True,Levi's,Sweater,XXL,Fit Well,Exchanged,Fit Issue,Summer,In-Store,New Buyer,Yes,Africa,2023-11-08 10:04
User010,18,Male,164,102,37.92,105,88,120,Petite,L,True,Levi's,T-shirt,L,Fit Well,Kept,,Summer,Online,Occasional Buyer,Yes,North America,2022-05-11 15:14
User010,18,Male,164,102,37.92,105,88,120,Petite,L,True,Zara,Dress,M,Too Small,Kept,,Summer,Online,Occasional Buyer,Yes,North America,2023-04-24 03:39
User010,18,Male,164,102,37.92,105,88,120,Petite,L,True,Nike,Sweater,M,Fit Well,Returned,Changed Mind,Summer,Online,Occasional Buyer,Yes,North America,2023-03-05 21:21
User010,18,Male,164,102,37.92,105,88,120,Petite,L,True,Nike,Jacket,M,Too Small,Returned,Changed Mind,Summer,Online,Occasional Buyer,Yes,North America,2023-11-19 09:48
User010,18,Male,164,102,37.92,105,88,120,Petite,L,True,Zara,Skirt,M,Too Large,Exchanged,Fit Issue,Summer,Online,Occasional Buyer,Yes,North America,2022-02-13 04:56
User010,18,Male,164,102,37.92,105,88,120,Petite,L,True,Zara,Sweater,M,Too Large,Kept,,Summer,Online,Occasional Buyer,Yes,North America,2022-08-22 20:55
User010,18,Male,164,102,37.92,105,88,120,Petite,L,True,Levi's,Sweater,L,Too Small,Exchanged,Quality Issue,Summer,Online,Occasional Buyer,Yes,North America,2023-07-03 05:02
User010,18,Male,164,102,37.92,105,88,120,Petite,L,True,Nike,Sweater,M,Fit Well,Kept,,Summer,Online,Occasional Buyer,Yes,North America,2023-02-02 13:35
User010,18,Male,164,102,37.92,105,88,120,Petite,L,True,H&M,Dress,XL,Too Small,Kept,,Summer,Online,Occasional Buyer,Yes,North America,2022-12-28 19:20
User010,18,Male,164,102,37.92,105,88,120,Petite,L,True,Nike,Sweater,M,Fit Well,Returned,Changed Mind,Summer,Online,Occasional Buyer,Yes,North America,2023-06-24 12:34
User010,18,Male,164,102,37.92,105,88,120,Petite,L,True,Zara,Jacket,M,Fit Well,Kept,,Summer,Online,Occasional Buyer,Yes,North America,2023-08-11 14:15
User010,18,Male,164,102,37.92,105,88,120,Petite,L,True,H&M,T-shirt,XL,Too Small,Exchanged,Other,Summer,Online,Occasional Buyer,Yes,North America,2023-01-28 11:50
User010,18,Male,164,102,37.92,105,88,120,Petite,L,True,Zara,Skirt,M,Fit Well,Kept,,Summer,Online,Occasional Buyer,Yes,North America,2022-06-24 14:18
User010,18,Male,164,102,37.92,105,88,120,Petite,L,True,Uniqlo,Sweater,XL,Too Small,Returned,Other,Summer,Online,Occasional Buyer,Yes,North America,2023-07-26 22:51
User010,18,Male,164,102,37.92,105,88,120,Petite,L,True,Zara,Jacket,M,Too Small,Kept,,Summer,Online,Occasional Buyer,Yes,North America,2022-10-01 20:38
User011,24,Non-Binary,166,90,32.66,97,84,118,Curvy,M,False,H&M,T-shirt,L,Fit Well,Kept,,Summer,In-Store,New Buyer,Yes,Asia,2022-08-29 01:45
User011,24,Non-Binary,166,90,32.66,97,84,118,Curvy,M,False,Levi's,Skirt,M,Too Small,Exchanged,Fit Issue,Summer,In-Store,New Buyer,Yes,Asia,2022-10-18 11:06
User011,24,Non-Binary,166,90,32.66,97,84,118,Curvy,M,False,Levi's,Shorts,M,Too Small,Kept,,Summer,In-Store,New Buyer,Yes,Asia,2022-02-02 16:20
User011,24,Non-Binary,166,90,32.66,97,84,118,Curvy,M,False,Zara,Jeans,S,Fit Well,Exchanged,Changed Mind,Summer,In-Store,New Buyer,Yes,Asia,2022-11-30 15:52
User011,24,Non-Binary,166,90,32.66,97,84,118,Curvy,M,False,Uniqlo,Jacket,L,Fit Well,Kept,,Summer,In-Store,New Buyer,Yes,Asia,2023-02-02 00:01
User011,24,Non-Binary,166,90,32.66,97,84,118,Curvy,M,False,Uniqlo,Shorts,L,Fit Well,Kept,,Summer,In-Store,New Buyer,Yes,Asia,2023-02-15 04:30
User011,24,Non-Binary,166,90,32.66,97,84,118,Curvy,M,False,Uniqlo,Jeans,L,Too Small,Exchanged,Fit Issue,Summer,In-Store,New Buyer,Yes,Asia,2022-07-28 06:36
User011,24,Non-Binary,166,90,32.66,97,84,118,Curvy,M,False,H&M,Sweater,L,Too Large,Exchanged,Quality Issue,Summer,In-Store,New Buyer,Yes,Asia,2022-08-03 03:18
User011,24,Non-Binary,166,90,32.66,97,84,118,Curvy,M,False,Levi's,Dress,M,Fit Well,Kept,,Summer,In-Store,New Buyer,Yes,Asia,2022-01-17 08:14
User011,24,Non-Binary,166,90,32.66,97,84,118,Curvy,M,False,Uniqlo,Jacket,L,Fit Well,Exchanged,Changed Mind,Summer,In-Store,New Buyer,Yes,Asia,2022-07-23 03:04
User011,24,Non-Binary,166,90,32.66,97,84,118,Curvy,M,False,Uniqlo,Skirt,L,Fit Well,Exchanged,Changed Mind,Summer,In-Store,New Buyer,Yes,Asia,2023-09-07 09:43
User012,36,Female,150,49,21.78,90,76,91,Average,S,False,Zara,Sweater,XS,Too Large,Kept,,Summer,In-Store,Occasional Buyer,No,Asia,2023-09-03 12:28
User012,36,Female,150,49,21.78,90,76,91,Average,S,False,Nike,T-shirt,XS,Too Large,Returned,Quality Issue,Summer,In-Store,Occasional Buyer,No,Asia,2022-07-20 11:19
User012,36,Female,150,49,21.78,90,76,91,Average,S,False,Nike,Dress,XS,Too Large,Exchanged,Fit Issue,Summer,In-Store,Occasional Buyer,No,Asia,2022-09-13 18:46
User012,36,Female,150,49,21.78,90,76,91,Average,S,False,H&M,T-shirt,XS,Too Large,Returned,Quality Issue,Summer,In-Store,Occasional Buyer,No,Asia,2022-02-26 07:19
User012,36,Female,150,49,21.78,90,76,91,Average,S,False,Uniqlo,Jeans,M,Fit Well,Kept,,Summer,In-Store,Occasional Buyer,No,Asia,2022-08-31 01:07
User012,36,Female,150,49,21.78,90,76,91,Average,S,False,Zara,T-shirt,XS,Too Large,Returned,Other,Summer,In-Store,Occasional Buyer,No,Asia,2022-11-26 05:01
User012,36,Female,150,49,21.78,90,76,91,Average,S,False,H&M,T-shirt,XS,Too Large,Returned,Changed Mind,Summer,In-Store,Occasional Buyer,No,Asia,2022-05-30 03:44
